Sequence number,Sta name,Methane flux to SWI (umol m-2 d-1),Methane flux to SMTZ (umol m-2 d-1),SMT (cm)*bold is estimated from CH4,R(swi/smt),water depth (m),bottom water salinity psu,bottom water temperature,sed rate (cm/yr),POC accum rate (g/m2/y),bottom water oxygen (CTD) mg/L,bottom water oxygenmL/L (winkler),Latitude,Longitude,Reference
1,StaA,313.13,0,1000,,43,26,9,0.05,25,,,56.66,11.76,"Iversen et al., 1985"
2,StaB,0.00,220,160,0.00,65,30,8,0.16,50,,,57.33,11.60,"Iversen et al., 1985"
3,StaC,0.00,360,100,0.00,200,35,8,0.25,25,,,58.08,10.07,"Iversen et al., 1985"
4,AL93_June94,32.01,224,40,0.14,241,13,5,,20,,,57.31,20.11,"Piker et al., 1998"
5,AL93_May95,32.01,146,50,0.22,241,13,5,,20,,,57.31,20.11,"Piker et al., 1998"
6,AL93_Oct95,80.03,396,60,0.20,241,13,5,,20,,,57.31,20.11,"Piker et al., 1998"
7,AL93_Oct96,53.35,270,60,0.20,241,13,5,,20,,,57.31,20.11,"Piker et al., 1998"
8,pockmark,353.81,106.38,10,3.33,25,20,4,,25,,,54.50,10.04,"Bussman et al., 1999"
9,control,0.00,26.82,70,0.00,25,20,4,,25,,,54.51,10.03,"Bussman et al., 1999"
10,1Eckernforde,0.00,40.23,150,0.00,28,20,4,,25,,,54.53,10.06,"Whiticar, 2002"
11,2Eckernforde,0.00,40.23,100,0.00,28,20,4,,25,,,54.51,10.07,"Whiticar, 2003"
12,3Eckernforde,0.00,40.23,100,0.00,28,20,4,,25,,,54.54,10.05,"Whiticar, 2004"
13,4Eckernforde,0.00,80.47,230,0.00,22,20,4,,25,,,54.50,10.05,"Whiticar, 2005"
14,5Eckernforde,0.00,0,250,,22,20,4,,25,,,54.50,10.08,"Whiticar, 2006"
15,SL17_41,8.90,111.26,7,0.08,47.8,12,8.5,,50,,,54.93,13.46,"Thieβen et al., 2006"
16,SL35,10.01,169.46,5,0.06,46,12,8.5,,50,,,54.94,13.45,"Thieβen et al., 2006"
17,SL44,6.67,0,1000,,46,12,8.5,,50,,,54.97,13.50,"Thieβen et al., 2006"
18,SL49,60.06,481.60,3,0.12,47.8,12,8.5,,50,,,54.91,13.50,"Thieβen et al., 2006"
19,SL02,4.00,0,1000,,48,12,8.5,,50,,,54.99,13.50,"Thieβen et al., 2006"
20,373860,0.00,0,80,,24.7,18,8.9,,25,9,6.50,54.25,11.53,"Jorgensen et al., 2011 PANGAEA"
21,373870,3.62,462,70,0.01,23.5,20.1,8.9,0.21,25,8,6.30,54.19,11.37,"Jorgensen et al., 2011 PANGAEA"
22,373880,20.80,187,60,0.11,24.7,20.2,8.6,,25,,,54.18,11.35,"Jorgensen et al., 2011 PANGAEA"
23,373900,0.00,314,65,0.00,24.8,20.1,8.8,,25,,,54.15,11.24,"Jorgensen et al., 2011 PANGAEA"
24,373920,15.70,816,55,0.02,23.5,20.2,8.8,,25,,,54.12,11.19,"Jorgensen et al., 2011 PANGAEA"
25,373940,65.74,936,25,0.07,23.8,19.4,10.2,,25,,3.00,54.09,11.09,"Jorgensen et al., 2011 PANGAEA"
26,373950,63.68,921,35,0.07,24.3,18.3,9.6,,25,,,54.05,11.11,"Jorgensen et al., 2011 PANGAEA"
27,373960,12.93,35,65,0.37,26.3,18.4,9.6,0.13,25,,,54.05,11.12,"Jorgensen et al., 2011 PANGAEA"
28,374050,124.55,,20,,21,15.8,8.3,,25,,,54.52,13.73,"Jorgensen et al., 2011 PANGAEA"
